time,domain,noError,totalCount,aCount,cnameCount,mxCount,txtCount,clientipCount,subdomainCount,
20230606,gzkedayiqi.com,0,0,0,0,0,0,0,0,
20230607,gzkedayiqi.com,1,1,1,0,0,0,1,1,
20230608,gzkedayiqi.com,1,1,0,0,0,0,1,1,
20230609,gzkedayiqi.com,1,1,0,0,0,0,1,1,
20230610,gzkedayiqi.com,1,2,1,0,0,0,2,2,
20230601,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230602,bfdbt.net.cn,1,3,3,0,0,0,1,2,
20230603,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230604,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230605,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230606,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230607,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230608,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230609,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230610,bfdbt.net.cn,0,0,0,0,0,0,0,0,
20230601,260cloud.com,1,25,20,0,0,0,11,4,
20230602,260cloud.com,1,44,36,0,0,0,14,4,
20230603,260cloud.com,1,10,8,0,0,0,4,2,
20230604,260cloud.com,1,4,4,0,0,0,3,3,
20230605,260cloud.com,1,54,21,0,0,0,8,9,
20230606,260cloud.com,1,29,28,0,0,0,4,3,
20230607,260cloud.com,1,23,11,0,0,0,13,6,
20230608,260cloud.com,1,37,29,1,0,0,10,6,
20230609,260cloud.com,1,63,33,0,0,0,7,4,
20230610,260cloud.com,1,51,27,0,0,0,11,21,
20230601,8n3nqq1.buzz,0,17,16,0,0,0,4,3,
20230602,8n3nqq1.buzz,0,65,63,0,0,0,7,2,
20230603,8n3nqq1.buzz,0,43,40,0,0,0,3,1,
20230604,8n3nqq1.buzz,0,13,13,0,0,0,2,2,
20230605,8n3nqq1.buzz,0,6,6,0,0,0,4,1,
20230606,8n3nqq1.buzz,0,22,19,0,0,0,7,3,
20230607,8n3nqq1.buzz,0,21,20,0,0,0,5,2,
20230608,8n3nqq1.buzz,0,8,6,0,0,0,2,2,
20230609,8n3nqq1.buzz,0,4,4,0,0,0,1,1,
20230610,8n3nqq1.buzz,0,0,0,0,0,0,0,0,
20230601,dlunitedmining.com,1,57,37,0,0,0,24,4,
20230602,dlunitedmining.com,1,19,16,0,0,0,10,3,
20230603,dlunitedmining.com,1,26,19,0,0,0,14,3,
20230604,dlunitedmining.com,1,10,7,0,0,0,7,2,
20230605,dlunitedmining.com,1,43,24,0,0,0,16,2,
